name,artist,genre,popularity,releaseDate,releaseYear,releaseMonth,timePeriod,energy,danceability,loudness,liveness,valence,speechiness,instrumentalness,acousticness,tempo,timeSignature,mode,key,durationMin,popularityGroup
Die With A Smile,"Lady Gaga, Bruno Mars",pop,100,2024-08-16,2024,8,2020s,0.592,0.521,-7.777,0.122,0.535,0.0304,0.0,0.308,157.969,3,0,6,4.19,High popularity
BIRDS OF A FEATHER,Billie Eilish,pop,97,2024-05-17,2024,5,2020s,0.507,0.747,-10.171,0.117,0.438,0.0358,0.0608,0.2,104.978,4,1,2,3.51,High popularity
That’s So True,Gracie Abrams,pop,93,2024-10-18,2024,10,2020s,0.808,0.554,-4.169,0.159,0.372,0.0368,0.0,0.214,108.548,4,1,1,2.77,High popularity
Taste,Sabrina Carpenter,pop,81,2024-08-23,2024,8,2020s,0.91,0.67,-4.07,0.304,0.786,0.0634,0.0,0.0939,112.966,4,0,0,2.62,High popularity
APT.,"ROSÉ, Bruno Mars",pop,98,2024-10-18,2024,10,2020s,0.783,0.777,-4.477,0.355,0.939,0.26,0.0,0.0283,149.027,4,0,0,2.83,High popularity
"Good Luck, Babe!",Chappell Roan,pop,94,2024-04-05,2024,4,2020s,0.582,0.7,-5.96,0.0881,0.785,0.0356,0.0,0.0502,116.712,4,0,11,3.64,High popularity
Diet Pepsi,Addison Rae,pop,88,2024-08-09,2024,8,2020s,0.561,0.669,-6.538,0.0954,0.841,0.0411,0.00962,0.495,150.069,4,1,10,2.83,High popularity
WILDFLOWER,Billie Eilish,pop,93,2024-05-17,2024,5,2020s,0.247,0.467,-12.002,0.17,0.126,0.0431,0.000271,0.612,148.101,4,0,6,4.36,High popularity
Sailor Song,Gigi Perez,pop,71,2024-07-26,2024,7,2020s,0.416,0.492,-10.439,0.203,0.297,0.0254,8.61e-05,0.686,94.926,4,1,11,3.53,High popularity
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,92,2024-09-27,2024,9,2020s,0.722,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0.0584,119.973,4,0,11,4.27,High popularity
Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,85,2024-08-01,2024,8,2020s,0.667,0.776,-6.622,0.0761,0.618,0.0983,0.3,0.0146,130.019,4,1,7,2.42,High popularity
Please Please Please,Sabrina Carpenter,pop,88,2024-06-06,2024,6,2020s,0.586,0.669,-6.073,0.104,0.579,0.054,0.0,0.274,107.071,4,1,9,3.11,High popularity
2 hands,Tate McRae,pop,79,2024-11-14,2024,11,2020s,0.806,0.608,-3.443,0.191,0.587,0.0486,0.0,0.121,104.032,4,1,1,3.03,High popularity
A Bar Song (Tipsy),Shaboozey,pop,86,2024-04-12,2024,4,2020s,0.709,0.722,-4.95,0.0804,0.604,0.0273,0.0,0.0633,81.012,4,1,9,2.85,High popularity
HOT TO GO!,Chappell Roan,pop,88,2023-09-22,2023,9,2020s,0.757,0.742,-4.981,0.305,0.957,0.0421,0.0,0.0187,139.982,4,1,6,3.08,High popularity
Disease,Lady Gaga,pop,86,2024-10-25,2024,10,2020s,0.917,0.562,-2.768,0.488,0.501,0.117,0.0,0.0513,100.987,4,0,11,3.83,High popularity
Moonlit Floor (Kiss Me),LISA,pop,82,2024-10-08,2024,10,2020s,0.787,0.734,-3.951,0.312,0.672,0.116,0.0,0.126,109.939,4,0,5,2.6,High popularity
Love Somebody,Morgan Wallen,pop,86,2024-10-18,2024,10,2020s,0.843,0.619,-5.348,0.164,0.746,0.0284,0.000118,0.00948,122.064,4,0,5,3.41,High popularity
"I Love You, I'm Sorry",Gracie Abrams,pop,90,2024-06-21,2024,6,2020s,0.406,0.53,-7.507,0.133,0.338,0.033,0.0,0.656,115.94,3,1,10,2.62,High popularity
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",pop,86,2024-06-07,2024,6,2020s,0.782,0.727,-8.529,0.225,0.655,0.042,0.336,0.0563,119.992,4,0,8,2.96,High popularity
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",pop,88,2024-10-28,2024,10,2020s,0.812,0.505,-3.986,0.444,0.664,0.461,0.0,0.285,80.09,4,1,1,4.27,High popularity
Espresso,Sabrina Carpenter,pop,90,2024-04-12,2024,4,2020s,0.76,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,0.107,103.969,4,1,0,2.92,High popularity
Mantra,JENNIE,pop,89,2024-10-10,2024,10,2020s,0.725,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0.00434,116.988,4,0,10,2.28,High popularity
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",pop,82,2024-11-15,2024,11,2020s,0.563,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0.528,105.008,4,0,4,3.05,High popularity
NEW DROP,Don Toliver,pop,85,2024-06-14,2024,6,2020s,0.628,0.757,-6.715,0.221,0.321,0.101,0.0209,0.189,119.98,4,0,4,3.62,High popularity
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",pop,84,2024-05-10,2024,5,2020s,0.855,0.638,-4.86,0.245,0.731,0.0264,0.0,0.00757,127.986,4,1,7,2.97,High popularity
Too Sweet,Hozier,pop,77,2024-03-22,2024,3,2020s,0.62,0.741,-5.505,0.0398,0.934,0.0412,0.000809,0.0295,117.038,4,1,10,4.19,High popularity
No One Noticed,The Marías,pop,84,2024-05-31,2024,5,2020s,0.339,0.705,-10.612,0.12,0.457,0.0278,0.0814,0.552,97.989,4,1,7,3.95,High popularity
Tu Boda,"Oscar Maydon, Fuerza Regida",pop,93,2024-09-26,2024,9,2020s,0.651,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,0.496,112.648,3,1,6,3.76,High popularity
